地区,年份,月份,星期,景气指数
,2015,,1,89.57518
,2015,,10,92.69366
,2015,,11,92.43514
,2015,,12,92.51584
,2015,,13,92.458
,2015,,14,92.3811
,2015,,15,92.59394
,2015,,16,92.577
,2015,,17,92.68048
,2015,,18,92.63658
,2015,,19,92.46208
,2015,,2,91.8729
,2015,,20,92.54018
,2015,,21,92.35718
,2015,,22,92.4102
,2015,,23,92.0942
,2015,,24,92.33892
,2015,,25,92.53106
,2015,,26,92.73946
,2015,,27,92.72662
,2015,,28,92.79746
,2015,,29,93.2479
,2015,,3,92.16102
,2015,,30,93.15252
,2015,,31,93.2535
,2015,,32,93.38962
,2015,,33,93.4657
,2015,,34,93.33066
,2015,,35,93.17488
,2015,,36,92.6691
,2015,,37,92.74194
,2015,,38,92.8274
,2015,,39,92.93314
,2015,,4,92.25238
,2015,,40,92.92468
,2015,,41,93.11598
,2015,,42,92.81512
,2015,,43,92.86556
,2015,,44,92.70704
,2015,,45,92.4771
,2015,,46,92.44732
,2015,,47,92.6256
,2015,,48,92.43558
,2015,,49,92.32234
,2015,,5,92.37584
,2015,,50,92.4758
,2015,,51,92.70138
,2015,,52,92.58792
,2015,,53,90.4219
,2015,,6,92.76516
,2015,,7,93.1932
,2015,,8,92.7361
,2015,,9,93.61396
,2016,,1,89.0096
,2016,,10,92.83656
,2016,,11,92.67824
,2016,,12,92.96046
,2016,,13,92.87172
,2016,,14,92.85928
,2016,,15,92.8641
,2016,,16,92.99862
,2016,,17,93.18298
,2016,,18,93.14224
,2016,,19,92.77872
,2016,,2,92.703
,2016,,20,92.7617
,2016,,21,92.9048
,2016,,22,92.91784
,2016,,23,92.71994
,2016,,24,92.9466
,2016,,25,93.03384
,2016,,26,93.05688
,2016,,27,93.24922
,2016,,28,93.30624
,2016,,29,93.45108
,2016,,3,92.925
,2016,,30,93.65674
,2016,,31,93.67586
,2016,,32,93.71998
,2016,,33,93.91582
,2016,,34,93.82004
,2016,,35,93.76726
,2016,,36,93.31596
,2016,,37,93.36712
,2016,,38,92.9838
,2016,,39,93.3106
,2016,,4,92.99796
,2016,,40,93.6644
,2016,,41,93.44624
,2016,,42,93.34468
,2016,,43,93.17202
,2016,,44,93.12492
,2016,,45,92.94872
,2016,,46,93.10468
,2016,,47,93.08748
,2016,,48,93.0682
,2016,,49,92.90682
,2016,,5,93.24532
,2016,,50,92.9565
,2016,,51,93.0728
,2016,,52,93.10276
,2016,,53,92.50234
,2016,,6,93.47088
,2016,,7,93.37118
,2016,,8,93.51296
,2016,,9,93.31692
,2017,,1,84.7713
,2017,,10,93.3577
,2017,,11,93.2344
,2017,,12,93.34702
,2017,,13,93.54334
,2017,,14,93.54422
,2017,,15,93.34946
,2017,,16,93.63242
,2017,,17,93.63648
,2017,,18,93.72006
,2017,,19,93.40646
,2017,,2,93.31276
,2017,,20,93.36932
,2017,,21,93.5007
,2017,,22,93.55026
,2017,,23,93.16038
,2017,,24,93.35722
,2017,,25,93.41462
,2017,,26,93.54924
,2017,,27,93.87316
,2017,,28,93.83846
,2017,,29,93.9815
,2017,,3,93.72852
,2017,,30,94.03222
,2017,,31,94.10268
,2017,,32,94.22654
,2017,,33,94.16664
,2017,,34,94.212
,2017,,35,94.0585
,2017,,36,93.75202
,2017,,37,93.59
,2017,,38,93.69044
,2017,,39,93.78458
,2017,,4,93.93934
,2017,,40,94.1378
,2017,,41,94.16102
,2017,,42,93.7654
,2017,,43,93.64656
,2017,,44,93.62522
,2017,,45,93.66806
,2017,,46,93.6386
,2017,,47,93.57998
,2017,,48,93.62902
,2017,,49,93.5246
,2017,,5,93.89858
,2017,,50,93.55838
,2017,,51,93.71884
,2017,,52,93.67996
,2017,,53,93.69312
,2017,,6,94.23772
,2017,,7,93.85522
,2017,,8,93.74526
,2017,,9,93.58198
,2018,,1,93.62584
,2018,,10,93.95356
,2018,,11,93.85116
,2018,,12,94.08994
,2018,,13,94.12194
,2018,,14,93.92748
,2018,,15,94.14196
,2018,,16,94.14414
,2018,,17,94.21398
,2018,,18,93.93718
,2018,,19,93.97886
,2018,,2,93.58926
,2018,,20,93.94804
,2018,,21,93.94336
,2018,,22,93.7347
,2018,,23,93.78994
,2018,,24,94.0478
,2018,,25,94.14232
,2018,,26,94.27614
,2018,,27,94.30242
,2018,,28,94.38668
,2018,,29,94.37034
,2018,,3,93.88328
,2018,,30,94.63718
,2018,,31,94.54364
,2018,,32,94.65754
,2018,,33,94.67158
,2018,,34,94.62986
,2018,,35,94.27772
,2018,,36,94.17078
,2018,,37,94.11488
,2018,,38,94.23252
,2018,,39,94.1925
,2018,,4,93.83858
,2018,,40,94.40638
,2018,,41,94.2678
,2018,,42,94.2313
,2018,,43,94.0922
,2018,,44,93.94264
,2018,,45,93.86012
,2018,,46,93.87538
,2018,,47,93.87274
,2018,,48,93.81604
,2018,,49,93.81682
,2018,,5,94.0361
,2018,,50,93.849
,2018,,51,94.088
,2018,,52,94.02488
,2018,,53,85.6782
,2018,,6,94.36436
,2018,,7,94.22866
,2018,,8,94.80134
,2018,,9,94.37548
